variant,seed,A@10,P@10,R@10,MRR@10,MAP@10,Median IFA,Effort@20%Recall,Recall@1%LOC
neg_off,0,0.94,0.352,0.8648195187165776,0.8873333333333333,0.8884274911816579,0.0,0.0132865842406348,0.1418685121107266
neg_off,1,0.94,0.348,0.8563346702317292,0.8861904761904762,0.8879235229276895,0.0,0.0129175124561727,0.1487889273356401
neg_off,2,0.94,0.344,0.8503195187165775,0.8845238095238095,0.8875219356261023,0.0,0.0123639047794796,0.1591695501730103
neg_off,3,0.94,0.35,0.8623346702317292,0.8761904761904762,0.8787759038800707,0.0,0.0136556560250968,0.1384083044982699
neg_off,4,0.94,0.3439999999999999,0.8525797682709448,0.875,0.8777264424288234,0.0,0.0129175124561727,0.1487889273356401
neg_off,5,0.94,0.346,0.8592464349376115,0.8873333333333333,0.8889486646510457,0.0,0.0132865842406348,0.1453287197231834
neg_off,6,0.94,0.34,0.8463979500891267,0.8795238095238095,0.8788247669438145,0.0,0.0140247278095589,0.1384083044982699
neg_off,7,0.94,0.346,0.8576680035650626,0.8906666666666666,0.8916425705467372,0.0,0.0131020483484037,0.1453287197231834
neg_off,8,0.96,0.3500000000000001,0.8683195187165776,0.8881904761904761,0.8907219356261024,0.0,0.0127329765639416,0.1522491349480969
neg_off,9,0.94,0.342,0.8598979500891266,0.8883333333333333,0.8916446963970773,0.0,0.0127329765639416,0.1522491349480969
neg_on,0,0.94,0.3259999999999999,0.8423979500891265,0.7960238095238096,0.8252640085663896,0.0,0.0138401919173279,0.1384083044982699
neg_on,1,0.94,0.348,0.8603195187165775,0.8133333333333332,0.8445281084656086,0.0,0.0121793688872485,0.1626297577854671
neg_on,2,0.94,0.3459999999999999,0.8570646167557934,0.8046666666666666,0.8391913454270598,0.0,0.0138401919173279,0.1314878892733564
neg_on,3,0.94,0.348,0.8644131016042781,0.8195238095238095,0.8479121787603932,0.0,0.0131020483484037,0.1487889273356401
