seed,A@10,P@10,R@10,MRR@10,MAP@10,Median IFA,Effort@20%Recall,Recall@1%LOC
0,85.1,28.3,76.5,0.8368794326241136,83.4,0.0,5.2,17.4
1,82.6,25.2,76.1,0.8260869565217391,80.2,0.0,5.9,15.9
2,84.8,25.9,77.3,0.8478260869565217,83.6,0.0,5.5,16.7
3,78.3,23.0,75.9,0.7536231884057972,73.9,0.0,8.5,14.7
4,82.2,24.4,72.3,0.7877777777777778,78.3,0.0,4.7,14.4
5,86.7,26.2,78.3,0.8488888888888889,84.2,0.0,5.8,15.8
6,77.1,25.2,76.9,0.7385416666666668,73.3,0.0,2.7,16.5
7,80.4,22.6,66.7,0.785024154589372,76.6,0.0,2.5,12.9
8,76.1,23.9,67.7,0.7608695652173914,73.6,0.0,3.5,17.1
9,78.7,27.0,75.5,0.7524822695035461,74.5,0.0,2.0,18.4
