seed,A@10,P@10,R@10,MRR@10,MAP@10,Median IFA,Effort@20%Recall,Recall@1%LOC
0,0.674,0.172,0.514,0.35100000000000003,0.32899999999999996,4.0,0.9,0.201
1,0.652,0.172,0.502,0.35100000000000003,0.32799999999999996,4.5,0.9,0.20800000000000002
2,0.652,0.163,0.502,0.354,0.336,4.5,1.0,0.201
3,0.63,0.161,0.48,0.33299999999999996,0.312,5.5,1.0,0.201
4,0.644,0.16399999999999998,0.491,0.34,0.317,5.0,1.0,0.201
5,0.667,0.16699999999999998,0.513,0.36,0.342,4.0,0.9,0.201
6,0.625,0.165,0.48100000000000004,0.336,0.312,5.0,0.9,0.204
7,0.652,0.172,0.502,0.348,0.327,4.5,0.9,0.20800000000000002
8,0.652,0.172,0.502,0.35700000000000004,0.33299999999999996,4.5,0.9,0.20800000000000002
9,0.638,0.168,0.491,0.34700000000000003,0.325,5.0,0.9,0.20800000000000002
